visual_node_id,pmid,node_id,degree,component_rank,title,conclusion_text
42366342,42366342,N000027,8,1,Comparison between ultrasound guided pericapsular nerve group (PENG) block and interscalene brachial plexus block for postoperative analgesia following shoulder arthroscopy: a randomized controlled trial.,"The present study concludes that the ultrasound-guided PENG block can provide effective management of postoperative pain following shoulder arthroscopy. Importantly, the PENG block offers this benefit with adequate safety profile."
42363558,42363558,N000030,4,1,"Effects of Mulligan sustained natural apophyseal glide mobilizations on pain, mobility, and lumbar-related disability in chronic non-specific low back pain: A systematic review and meta-analysis.","Mulligan SNAGs were associated with improvements in pain, disability, and lumbar extension mobility in adults with CNSLBP. However, substantial heterogeneity, low-to-moderate certainty of evidence, and limited long-term follow-up warrant cautious interpretation. Further high-quality RCTs are needed to confirm these findings and determine their long-term effectiveness."
42363494,42363494,N000033,3,410,Application of high-flux hemodialysis combined with hypoxia-inducible factor prolyl hydroxylase inhibitor in the treatment of renal anemia in patients with uremia: A randomized controlled trial.,"Compared to low-flux dialysis plus rhEPO, the combination of HFHD and HIF-PHI shows more favorable improvements in hemoglobin levels, iron metabolism markers, and clearance of middle-molecule toxins in patients with incident MHD. However, the safety profile requires further evaluation in larger trials."
42363480,42363480,N000034,1,1,Effect of preoperative midazolam anxiolysis on anesthetic gas consumption: A randomized controlled trial.,"Preoperative anxiolytic dose of midazolam administration did not significantly reduce intraoperative sevoflurane consumption, and preoperative anxiety levels were not associated with sevoflurane requirements."
42363276,42363276,N000035,5,1,Ultrasound-guided versus stereotactically navigated ventriculoperitoneal shunt placement: a randomized clinical trial.,"The NAVPS trial shows US-G VPS placement to be more time-efficient, while accuracy of catheter placement and complication rates seem to be comparable to ST-G placement. US-G can be efficiently and safely used in clinical practice."
42361120,42361120,N000040,1,1,"Awareness, attitudes, and barriers toward Transthyretin Amyloid Cardiomyopathy in Latin America: A questionnaire-based cross-sectional study.","Difficulties in ATTR-CM diagnosis and management in LATAM were influenced by varying knowledge levels, gaps in diagnostic algorithms, and significant access barriers. These factors contribute to delayed diagnosis and management. Enhanced, tailored training strategies and collaborative efforts are necessary to improve early diagnosis, effective treatment, and ultimately, patient outcomes in the region."
42360540,42360540,N000045,1,1201,Airway pressure reliably predicts intra-abdominal pressure during laparoscopic surgery.,"PIP strongly correlates with IAP and accurately detects intraoperative IAH. PLAT is not recommended as a standalone diagnostic surrogate for IAP. Airway pressure monitoring may serve as a practical, real-time screening tool during abdominal surgery, with particular promise in complex abdominal wall reconstruction."
42359822,42359822,N000047,4,1,RSV-associated acute otitis media in children under five years old: a systematic review and meta-analysis.,"RSV is a prominent viral contributor to AOM pathogenesis; however, significant heterogeneity and methodological differences across studies limit the accuracy and generalisability of findings. Standardised prospective studies are needed to further investigate risk stratification and evaluate the effectiveness of interventions to prevent RSV-associated AOM and improve its management."
42371548,42371548,N000050,1,293,Does set configuration influence long-term adaptations to complex training in national-level wrestlers? A volume-matched randomized trial.,"When total training volume and intensity are matched, complex training effectively enhances strength and explosive performance in national-level wrestlers. However, modifying set configuration (cluster vs. traditional) did not result in clearly superior long-term adaptations over an 8-week training period in highly trained athletes."
42351253,42351253,N000052,1,628,T2-sparing vs T2-including sympathectomy for hyperhidrosis: a meta-analysis on compensatory sweating.,T2-sparing sympathectomy was associated with a significantly lower incidence of CS. The reported findings support avoiding T2 when feasible to minimize postoperative morbidity. Further prospective studies are needed to confirm these results.
42350017,42350017,N000056,3,77,Implications of incorporating morbidity into primary care workload models for NHS funding allocations: a retrospective observational study in England.,"The current demographic-based weighting formula captures age and regional variation but only weakly reflects recorded morbidity. Incorporating morbidity improves prediction of workload and produces modest redistribution towards populations with higher disease burden, although deprivation-related differences remain."
42350006,42350006,N000057,4,1,Evolution of blood biomarkers reflective of brain tissue damage and inflammation in the perioperative course of intracerebral haemorrhage evacuation in a phase II proof-of-concept trial.,"Based on our results, we provide preliminary evidence that lower serum NfL and GFAP levels are associated with favourable clinical outcomes and successful haematoma evacuation in SSICH."
42349990,42349990,N000059,6,1,"Clinical efficacy of portable, cost-effective manual thermal pulsation for obstructive meibomian gland dysfunction and factors associated with therapeutic efficacy.","Portable, cost-effective manual thermal pulsation demonstrated non-inferiority to automatic thermal pulsation for MGD during the 4-week follow-up period, with therapeutic efficacy associated with meibum micro-organism and lipid components."
42349019,42349019,N000060,5,1,Digital Literacy and Patient Satisfaction in Telemedicine Follow-Up With In-Person App Instruction Versus Outpatient Department Follow-Up After Upper-Extremity Surgery: A Randomized Controlled Trial.,"Telemedicine follow-up supported by brief in-person app instruction resulted in patient satisfaction that was not significantly different from traditional in-person outpatient follow-up after upper-extremity surgery. Although age and digital literacy differed modestly between groups, these factors did not influence satisfaction. The reported findings support telemedicine as an acceptable option for postoperative follow-up in appropriately selected patients."
42348859,42348859,N000062,2,1,An Internet-Based Mindfulness- and Compassion-Based Intercare Program for Reducing Parental Burnout: Randomized Controlled Trial.,"The culturally adapted, internet-based IBAP-BP program was feasible, safe, and effective compared with the waitlist condition for reducing parental burnout in working mothers, with effects sustained over 9 months, although it did not demonstrate superiority over the active control at the primary end point. Internet-based mindfulness- and compassion-based interventions may offer scalable, equitable options for preventing and treating parental burnout in resource-limited settings."
42348651,42348651,N000063,1,1202,Outcomes of damage control laparotomy after trauma in low andmiddle-income countries: A systematic review and meta-analysis.,"The pooled estimate should be interpreted cautiously given the small number of studies, high heterogeneity, and retrospective study designs. Pre-hospital care, emergency theatre access, blood banking infrastructure, ICU capacity, and infection prevention represent potential areas for targeted improvement. Further prospective, multi-centre studies with standardised outcome definitions are needed to better characterise DCL outcomes across diverse LMIC settings."
42348596,42348596,N000064,8,1,"Erythropoietin, transfusions, and outcomes of retinopathy of prematurity and brain injury in extremely preterm infants: A post hoc analysis of the Preterm Erythropoietin Neuroprotection Trial (PENUT).",Endogenous Epo concentrations in preterm infants are influenced by perinatal variables and correlate with poor outcomes. The association of Epo with MRI results differed between placebo and rHuEpo treatment groups. Transfusions were associated with increased ROP and brain injury on MRI.
42348534,42348534,N000065,2,1,Efficacy of adjunctive antibiotics compared to non-antibiotic therapies following mechanical debridement for peri-implantitis: A systematic review and meta-analysis of randomized controlled trials.,"As an adjunct to mechanical debridement, antibiotics may provide modest benefits for peri-implantitis, demonstrating efficacy in improving probing pocket depth, clinical attachment level, plaque score, bleeding on probing, and other parameters related to soft tissue health and plaque control."
42348026,42348026,N000067,1,1203,Post-diagnosis physical activity in relation to mortality among prostate cancer survivors: a systematic review and meta-analysis.,"Higher post-diagnosis physical activity, including activity at higher intensities, was associated with lower all-cause and prostate cancer-specific mortality among men living with prostate cancer. The study findings suggest that physical activity may complement cancer care for prostate cancer patients."
42347903,42347903,N000069,3,1,Minimally invasive stabilisation of anterior pelvic ring injuries through anterior infix versus percutaneous anterior retrograde pubic screw: a prospective comparative cohort study.,Retrograde pubic ramus screw fixation offers advantages of reduced blood loss and lower neurovascular complications. Internal fixator offers slightly reduced fluoroscopy exposure but carries a higher risk of lateral femoral cutaneous nerve irritation. LEVEL OF EVIDENCE: Level 4.
42342288,42342288,N000077,2,236,Long-term safety and efficacy of upadacitinib compared with adalimumab in patients with rheumatoid arthritis: 7-year data from the SELECT-COMPARE study.,"The safety profile of upadacitinib remained consistent with previous analyses, with no new safety concerns through 7 years. Upadacitinib and adalimumab (continuous or rescue treatment) maintained disease activity targets throughout the 7-year treatment period. Upadacitinib exhibited an acceptable benefit-risk profile for long-term RA treatment."
42341343,42341343,N000080,8,1,Long-Term Effectiveness of Unguided Internet-Based Cognitive Behavioral Therapy on Major Depressive Disorder in Chinese Adults: Randomized Controlled Trial With a 12-Month Follow-Up.,"Unguided ICBT effectively reduces depressive symptoms and enhances functioning in Chinese patients with MDD, with sustained benefits over 12 months. Its scalability and low-cost nature make it a promising option for resource-limited settings."
42337566,42337566,N000087,4,1,Robotic-assisted versus conventional nipple-sparing mastectomy with immediate implant-based breast reconstruction: a GRADE-assessed systematic review and meta-analysis of prospective studies.,"Robotic nipple-sparing mastectomy is associated with a longer operative time than conventional or open approaches. No statistically significant differences were observed in major complications or nipple-areolar complex viability; however, the current prospective evidence base is limited, heterogeneous, and imprecise, and clinically important differences cannot be excluded. In experienced centers, robotic nipple-sparing mastectomy may be considered for carefully selected patients who prioritize scar concealment and minimally invasive access; however, its broader role in routine practice remains uncertain pending stronger prospective data on safety, patient-reported outcomes, and resource use."
42337018,42337018,N000090,2,629,Efficacy of hydrocolloid dressing for hand-foot skin reaction: J-SUPPORT 1701 APRON trial.,Our study showed that the prophylactic use of hydrocolloid dressing was effective for HFSR.
42335182,42335182,N000092,5,1,Improving the field accuracy of a malaria diagnostic algorithm combining sequential interpretation of rapid diagnostic test detecting PfHRP2 and pLDH in febrile children in a seasonal hyperendemic malaria transmission area in Burkina Faso.,"The sequential diagnostic approach improves the diagnosis of malaria in a real world setting, compared to the use of PfHRP2-(only) based RDT. However, relying only on history of antimalarial treatment in undetermined cases may decrease algorithm's sensitivity, which could result in missing active or recurrent malaria infections."
42335017,42335017,N000097,3,20,"Prevalence and epidemiological patterns of Neisseria gonorrhoeae infection in sub-Saharan Africa, 1964-2025: Systematic review, meta-analyses, and meta-regressions.","NG prevalence remains markedly high in this region but has declined over time. The reported findings highlight the need for strengthened surveillance, expanded prevention and diagnostic strategies, and continued monitoring of gonococcal antimicrobial resistance to support effective control efforts in sub-Saharan Africa."
42137960,42137960,N000100,5,1,"Laroprovstat, the First Oral Small-Molecule PCSK9 Inhibitor for the Treatment of Hypercholesterolemia: Results From a Randomized, Single-Blind, Placebo-Controlled Phase 1 Trial in Treatment-Naïve Patients.","Laroprovstat was well tolerated with no safety findings of concern and may be dosed with or without food. In treatment-naïve participants with hypercholesterolemia, combined rosuvastatin 20 mg and laroprovstat 30 mg treatment led to an 80% LDL-C reduction, supporting further development of laroprovstat as the first oral small-molecule PCSK9 inhibitor in patients with hypercholesterolemia."
41985012,41985012,N000101,8,1,Direct oral anticoagulants in portal vein thrombosis in patients with cirrhosis: a systematic review and meta-analysis.,"In patients with cirrhosis with PVT, DOAC therapy is associated with improved complete recanalization and reduced PVT progression compared with VKAs, without increased bleeding risk and with lower risk of ICH. The reported findings support the use of DOACs in select patients, although randomized trials are needed to confirm these results."
41603385,41603385,N000104,5,1,Population-based screening for conditions associated with juvenile sudden cardiac death: a systematic review and meta-analysis.,"Systematic cardiovascular screening may help identify young individuals at increased risk for SCD, providing a potentially meaningful diagnostic yield. However, the absence of long-term data on outcome and cost-effectiveness underscores the need for further research to refine screening protocols, assess sustainability, and inform evidence-based public health policies."
42369368,42369368,N000106,8,1,"Enhanced Recovery and Postoperative Analgesia After Laparoscopic Myomectomy: A Randomized Controlled Trial Comparing Total Intravenous Anesthesia, Transversus Abdominis Plane Block with Rectus Sheath Block, and Quadratus Lumborum Block.","General anesthesia combined with QLB-LSAL can effectively alleviate postoperative uterine contraction pain, reduce the need for anesthetic drugs during and after surgery, promote early recovery, and does not increase the risk of complications, making it an optimized anesthesia protocol for laparoscopic myomectomy."
42356215,42356215,N000109,8,1,Bone Defect Regeneration and Donor-Site Morbidity After Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction: A Prospective Cohort Study.,"After BTB ACL reconstruction, tibial donor-site bone defects were larger, whereas patellar defects showed greater regeneration over time. Larger patellar defect volume at 4 weeks, but not regeneration percentage, was associated with worse subjective outcomes at 12 months."
42331999,42331999,N000116,4,1,Feasibility and safety of transcranial direct current stimulation in the treatment of adolescent depression in a naturalistic inpatient setting: a double-blind randomized controlled trial.,"In conclusion, while tDCS appears to be a safe treatment option for adolescents with depression, this study could not show it to be superior to sham treatment."
42331591,42331591,N000118,1,1,Type 2 diabetes and the risk of hospitalisation and mortality from seasonal influenza: an observational register-based study in Sweden.,"Absolute risk was highest in those with cardiovascular, kidney or respiratory disease. The study confirms that T2D increases the risk of hospitalisation and mortality from seasonal influenza. Support to achieve HbA1c and eGFR targets and following vaccination guidelines is important."
42329990,42329990,N000128,6,1,Evaluation of photobiomodulation therapy for genitourinary syndrome of menopause: A single-center prospective study.,"Intravaginal 660-nm PBM is a well-tolerated, non-hormonal modality that may improve objective vaginal health and subjective symptoms in GSM. As an integrated therapeutic option, PBM may also improve GSM-related LUTS, suggesting potential relevance for geriatric patients with polypharmacy concerns."
42329964,42329964,N000129,3,11,Applications of electromyography in Amyotrophic Lateral Sclerosis: A systematic review.,"Additionally, the studies highlighted the increasing use of advanced computational approaches, such as machine learning, for feature extraction and automated classification. In conclusion, sEMG is a promising tool for functional assessment in ALS, with the potential to improve diagnostic accuracy and support new therapeutic strategies based on electrophysiological biomarkers."
42329957,42329957,N000130,3,1,Inhaled nitric oxide in fibrotic and advanced interstitial lung disease: A systematic review and meta-analysis of randomized controlled trials.,INO did not demonstrate improvements in 6MWD or MVPA. The reported findings do not support routine use of iNO in this population.
41448868,41448868,N000132,7,1,Efficacy and safety of anti-VEGF monoclonal antibody 601 for macular oedema in retinal vein occlusion: two phase IIa randomised clinical trials.,"At week 24, the adjusted mean BCVA change from baseline was +16.52 letters for 601 versus +17.79 letters for ranibizumab (adjusted mean difference: -1.27 letters (95% CI -5.439 to 2.891 letters)) in BRVO, and +13.81 letters versus +16.79 letters (adjusted mean difference: -2.97 letters (95% CI -10.488 to 4.540 letters)) in CRVO. These trials demonstrate that 601 is as effective and safe as ranibizumab for improving vision and reducing CST in RVO-related macular oedema. Phase III trials are warranted."
42356401,42356401,N000136,1,1204,Rectus Femoris Neuromechanical Responses to Exercise-Induced 3% Body Mass Loss by Baseline Hydration Status: A Randomized Group Comparison.,"Under moderate-intensity cycling with approximately 3% body mass loss, we did not detect significant hydration-group differences or significant pre-post changes in resting RF twitch-derived contractile properties or in RF muscle, skin, and subQ shear modulus. The reported findings should be interpreted cautiously: the study was underpowered to detect small effects, and the fascial finding emerged from an exploratory, layer-specific analysis without correction for multiple comparisons. It should therefore be regarded as preliminary and hypothesis-generating, requiring confirmation in adequately powered, pre-registered studies."
42346271,42346271,N000140,5,96,The Route of Administration Determines the Efficacy of Zinc in Preventing Radiation-Induced Oral Mucositis: A Systematic Review and Meta-Analysis.,"While these exploratory findings suggest that topical administration may provide a more consistent protective trend compared to systemic routes, they should be interpreted as hypothesis-generating rather than definitive. Future large-scale, multi-center RCTs are strictly warranted to validate these promising route-specific benefits before formal guideline integration."
42356396,42356396,N000141,2,1,Combined Nutraceutical Supplementation and Pulsed Electromagnetic Field Therapy Enhances Early Pain Reduction and Bone Callus Formation After Distal Radius Fracture: A Randomized Controlled Trial.,"Nutraceutical supplementation in addition to PEMF was associated with improved short-term outcomes; however, due to the absence of a non-PEMF control group, the independent effect of PEMF cannot be determined."
42322443,42322443,N000144,6,1,Efficacy of 8% arginine associated with low-level laser therapy in the treatment of dentin hypersensitivity: randomized double-blind clinical trial.,"All evaluated therapies were effective in reducing DH over the 8-week follow-up period, with a progressive reduction in symptoms over time. However, no statistically significant differences were observed between the interventions, and no additive effect was identified for the combined therapy."
42104210,42104210,N000145,1,1205,Systolic blood pressure time-in-target range and kidney outcomes in patients with hypertension: Findings from the STEP trial.,"A higher SBP TTR was associated with a lower risk of kidney events in adults with hypertension. Therefore, the SBP TTR may be considered a potential therapeutic target and quality metric."
42356375,42356375,N000147,6,1,Dose-Response Effect of Oral Caffeine Use on Aerobic Exercise Performance: A Systematic Review and Meta-Analysis.,"Low doses produced a standardized mean difference of -0.27 (95% CI: -0.44 to -0.11; p = 0.001), whereas moderate doses resulted in an SMD of -0.52 (95% CI: -0.77 to -0.28; p < 0.0001). This is the first meta-analysis specifically focused on aerobic time-trial performance to suggest that pre-exercise ingestion of low caffeine doses (1.3-3 mg·kg-1) may enhance endurance performance by reducing time-trial completion time. Notably, the use of moderate caffeine doses (4-6 mg·kg-1) appears to produce a more consistent ergogenic effect."
42354343,42354343,N000149,3,133,Perceived Exertion Is Associated with Cardiovascular Strain but Not Glycemic Response to Gym-Based Exercise in Adults with Type 1 Diabetes: An Exploratory Randomized Crossover Trial.,"Neither variable was associated with resting HR or BG (all adjusted R2 < 0; all p > 0.05). Controlling for exercise session type, RPE was a significant positive predictor of %HR (β = 0.44, p = 0.044), whereas enjoyment was not (β = -0.06, p = 0.719); however, the overall %HR model did not reach statistical significance (adjusted R2 =0.119; F(4,31) = 2.183; p = 0.094). These exploratory findings suggest that RPE, but not enjoyment, may serve as a low-cost adjunct intensity marker to inform exercise prescription in adults with T1DM at elevated cardiovascular risk; however, replication in larger samples is needed before clinical recommendations can be drawn."
42332516,42332516,N000150,2,1,Digital versus speculum insertion of Foley catheter for cervical ripening: A systematic review and meta-analysis of randomized controlled trials.,Digital transcervical Foley catheter insertion demonstrates procedural efficiency and obstetric safety equivalent to speculum-guided techniques.
42332486,42332486,N000151,6,1,Diagnostic value of systemic immune-inflammation index in differentiating testicular torsion from epididymo-orchitis based on symptom duration: A retrospective observational study.,"The reported findings suggest that SII may serve as a readily available adjunctive biomarker for the early differentiation of testicular torsion from epididymo-orchitis, particularly within the critical 6-hour window. Although not sufficient as a standalone diagnostic tool, its integration with clinical and imaging findings may improve early diagnostic accuracy, and further prospective multicenter studies are warranted to validate these results."
42321498,42321498,N000154,1,411,Robotic versus laparoscopic pancreatoduodenectomy across the learning curve: a systematic review and meta-analysis.,"Both RPD and LPD improve with experience. RPD may offer selected learning-phase advantages, but current evidence does not support broad superiority over LPD."
42320980,42320980,N000156,5,1,"First-in-human study of lomvastomig, a PD-1-TIM-3 bispecific antibody, in patients with advanced and/or metastatic solid tumors.","Lomvastomig had a tolerable and manageable safety profile at 2,100 mg Q2W. Clinical activity was limited in CPI-experienced patients with melanoma and NSCLC, while an encouraging signal was observed in CPI-naïve patients with ESCC."
42319630,42319630,N000158,1,1,Quantitative ultrasound evaluation of the thoracolumbar fascia after manual and acupuncture therapies: an exploratory mechanistic randomized controlled trial with a sequential within-subject phase.,"Chiropractic and massage, unlike acupuncture, elicited detectable biomechanical changes, while chiropractic also enhanced disability outcomes. HKD detected no microstructural changes."
42319531,42319531,N000159,1,1,Prognostic associations between patient-reported outcomes and overall survival among patients with advanced squamous non-small cell lung cancer: results from the RATIONALE-307 trial.,"In this analysis, compared to PC alone, Tisle + PC improved GHS/QoL and dyspnea in both arms, while chest pain improvement was observed only with Tisle + nPC."
42319509,42319509,N000161,3,1,"The effect of emotional freedom technique on premenstrual syndrome, menstrual symptoms and quality of life experienced by nursing students: a randomized controlled trial.","The findings suggest that EFT may be an effective complementary intervention for reducing premenstrual and menstrual symptoms and improving mental aspects of quality of life among nursing students. EFT may be considered a potentially supportive, non-pharmacological approach in the management of menstrual-related symptoms."
42319498,42319498,N000162,8,1,The effect of mindfulness-based stress reduction training on fear of childbirth and psychological well-being in women experiencing premenstrual syndrome: a randomized controlled trial.,"The findings suggest that MBSR may be an effective non-pharmacological intervention for reducing premenstrual symptoms, decreasing pre-pregnancy fear of childbirth, and improving psychological well-being in women experiencing PMS. However, the results should be interpreted with caution due to the short-term nature of the assessment and the absence of long-term follow-up data."
42316134,42316134,N000166,3,1,Negative-pressure wound therapy versus conventional dressings following stoma reversal: a GRADE-based systematic review and meta-analysis of randomized controlled trials with predefined subgroup analyses by closure technique.,"In this primary pooled analysis, prophylactic NPWT did not significantly reduce incisional surgical site infection after stoma reversal, although the effect favored NPWT. Exploratory sensitivity and subgroup analyses suggested possible benefits in selected contexts, although these findings should not supersede the nonsignificant primary pooled analyses. Larger, standardized randomized trials are needed to clarify which closure techniques and patient groups derive the greatest benefit."
42356367,42356367,N000167,7,1,Effect of School-Based Physical Activity and Multi Micronutrient Supplementation on Micronutrient Concentrations Among Tanzanian Schoolchildren: Secondary Outcomes from the KaziAfya Cluster-Randomized Controlled Trial.,"School-based physical activity, alone or combined with multi-micronutrient supplementation, was associated with lower odds of zinc deficiency among Tanzanian schoolchildren. Supplementation alone showed no clear benefit for zinc or iron status. Vitamin D findings remain inconclusive because of substantial biomarker-specific missingness."
42356194,42356194,N000174,7,1,Effectiveness of Motivational Interviews for Alleviating Pre- and Postoperative Anxiety and Postoperative Pain Among Patients Undergoing Surgery: A Systematic Review and Meta-Analysis.,"Motivational interviews by nurses may help provide clearer information and emotional support and allow patients to express doubts, reducing their fear of anesthesia, pain and the recovery process. Emotional control improved adaptation to the surgical environment, reducing postoperative pain. With respect to implications for clinical practice, it is necessary to use the same scales to measure anxiety to better compare the studies."
42338762,42338762,N000178,8,1,"Effect of Oliceridine Fumarate for Patient-Controlled Intravenous Analgesia on Gastrointestinal Function in Laparoscopic Radical Gastrectomy Surgery: A Randomized, Double-Blind, Controlled Trial.","In patients undergoing laparoscopic radical gastrectomy, oliceridine-based PCIA provides analgesic efficacy comparable to sufentanil but significantly accelerates gastrointestinal function recovery, improves emergence quality, reduces the incidence of postoperative nausea and vomiting, and shortens hospital stay. It represents a valuable analgesic strategy for Enhanced Recovery After Surgery (ERAS) protocols."
42317135,42317135,N000179,6,1,Promoting Psychological Resilience and Well-Being in Youth With a Smartphone-Based Ecological Momentary mHealth Intervention: Secondary Analysis of a Microrandomized Trial.,"By investigating proximal effects of EMI components, this secondary analysis analyzes proximal effects of a novel digital training using EMA, which presents an innovative approach to understanding how the digital training leads to long-term improvement of distal outcomes. The analysis contributes to research in the field of EMI by serving as a basis for future investigations on the momentary effects of EMI components, which can support the development of scalable interventions to promote mental well-being in the public."
42316212,42316212,N000180,1,1,Patterns of CDSS adoption in primary care: a cluster analysis and predictive modelling study from a stepped wedge trial.,"Structural variables alone were insufficient to distinguish adoption patterns; differences were instead associated with attitudinal factors such as change commitment, change efficacy, and willingness to engage with the intervention. Because these attitudinal measures were collected after practices had reached intervention status, they cannot be interpreted as antecedents of adoption. The reported findings nonetheless underscore the value of assessing implementer engagement during implementation and of tailoring implementation strategies to distinct adoption patterns rather than pursuing uniform approaches."
42315249,42315249,N000184,6,1,Long-term axial elongation in myopic children wearing DIMS spectacle lenses: an 8-to-10-year observational study.,"DIMS spectacle lens provides sustained slowing of axial elongation through late adolescence, yielding substantial benefits compared with modelled SV wear and external norms. However, this significant biological effect did not translate to a statistically significant refractive error effect in the LMM, possibly due to the low signal-to-noise ratio inherent to long-term autorefraction measurements and the lack of a contemporaneous, untreated single-vision control group."
42315195,42315195,N000185,1,1206,Cardioprotective role of antihypertensive treatment in chemotherapy-induced cardiotoxicity: umbrella review of meta-analyses of randomised controlled trials.,"ACEIs and beta blockers appear to confer modest cardioprotective effects during chemotherapy, particularly regarding systolic function and heart failure incidence, although with predominantly low-certainty evidence. Larger, robust RCTs with standardised endpoints are required before routine prophylactic use is recommended."
42150044,42150044,N000188,1,1207,Prehospital Resuscitation with Type O Whole Blood for Trauma and Hemorrhage.,"In injured patients with hemorrhagic shock, the use of whole blood for prehospital transfusion did not result in lower 30-day mortality than the use of blood components. (Funded by the Defense Health Agency Research Technology Portfolio Management, Combat Casualty Portfolio; TOWAR ClinicalTrials.gov number, NCT04684719.)."
42356337,42356337,N000192,7,1,Ultra-Processed Food Consumption Is Independently Associated with Higher HbA1c and Poor Glycemic Control in Adults with Type 2 Diabetes.,"Higher UPF consumption, captured by a brief validated screener, was independently associated with poorer glycemic control in Turkish adults with T2DM. Brief UPF screening may help identify patients who would benefit from targeted nutritional intervention."
42356187,42356187,N000194,1,1208,Quality of Life and Psychological Factors in Patients with Metastatic Prostate Cancer Receiving Androgen Receptor-Targeted Therapies: A Prospective Cross-Sectional Real-World Study.,"Although unadjusted QoL scores differed across AR-targeted therapy groups, psychological factors-particularly anxiety and depression-were significantly associated with poorer QoL in patients with metastatic prostate cancer. The reported findings highlight the importance of integrating routine psychosocial assessment and supportive care strategies into clinical practice to optimize patient-centered outcomes. However, given the cross-sectional and exploratory nature of the study, the findings should be interpreted cautiously."
